rank,nome,avaliacao
893,Attika,6.99
894,Tiny Epic Quest,7.00
895,Ascension: Storm of Souls,7.28
896,Zombicide: Invader,7.84
897,A War of Whispers,7.39
898,Legacy: The Testament of Duke de Crecy,7.14
899,Concept,6.79
900,The Castles of Burgundy: The Card Game,6.98
901,DinoGenics,7.63
902,Hawaii,7.12
903,Snow Tails,6.97
904,Istanbul: The Dice Game,7.16
905,Fabled Fruit,7.00
906,5-Minute Dungeon,6.97
907,Meeple Circus,7.06
908,Tak,7.60
909,Maquis,7.44
910,Qwirkle,6.78
911,Santa Monica,7.28
912,Dominant Species: Marine,8.08
913,Clinic: Deluxe Edition,7.66
914,Roam,7.34
915,DC Comics Deck-Building Game,7.03
916,The Grimm Forest,7.10
917,Lowlands,7.41
918,Regicide,7.51
919,Ohanami,7.33
920,Kingsburg (Second Edition),7.44
921,Black Sonata,7.50
922,Flick 'em Up!,6.88
923,Gold West,7.32
924,The City of Kings,7.61
925,Condottiere,6.86
926,Abomination: The Heir of Frankenstein,7.49
927,Caper: Europe,7.94
928,Antike,7.09
929,Azul: Queen's Garden,7.57
930,Caylus 1303,7.50
931,Ascension: Return of the Fallen,7.28
932,The Speicherstadt,7.03
933,La Città,7.02
934,Discoveries: The Journals of Lewis & Clark,7.04
935,Herbaceous,7.07
936,Unlock!: Epic Adventures,7.79
937,Automobiles,7.24
938,Bullet♥︎,7.71
939,Cat Lady,7.05
940,Living Forest,7.35
941,History of the World,7.11
942,Tidal Blades: Heroes of the Reef,7.62
943,Orchard: A 9 card solitaire game,7.42
944,Star Trek: Frontiers,7.84
945,Legendary Encounters: A Predator Deck Building Game,7.42
946,Manila,6.98
947,Mr. Jack Pocket,6.86
948,Khôra: Rise of an Empire,7.50
949,Riverboat,7.45
950,Rivals for Catan,6.96
951,Star Wars: The Queen's Gambit,7.55
952,Marvel Dice Masters: Uncanny X-Men,7.17
953,World's Fair 1893,7.17
954,Majesty: For the Realm,6.96
955,Mint Works,6.97
956,Black Fleet,7.00
957,Polis: Fight for the Hegemony,7.52
958,Railroad Revolution,7.34
959,Empires of the Void II,7.50
960,Valley of the Kings,7.03
961,Winner's Circle,6.99
962,Cottage Garden,6.87
963,Merchant of Venus (Second Edition),7.15
964,Tiny Epic Dinosaurs,7.38
965,Smash Up: Pretty Pretty Smash Up,7.24
966,A Distant Plain,7.83
967,Firenze,7.24
968,"Warhammer 40,000: Conquest",7.36
969,Irish Gauge,7.29
970,Wildlands,7.29
971,Islebound,7.17
972,Fields of Green,7.15
973,Zombicide Season 3: Rue Morgue,7.52
974,Space Hulk (Fourth Edition),7.93
975,Dinosaur World,7.48
